'n	n
'n	ə n
'ne	n ə
'nem	n ə m
'nen	n ə n
'ner	n ɐ
'türlich	ˈt yː ɐ̯ l ɪ ç
@	ɛ t
A	ʔ aː
a	a
a	ä
à	aː
Ä	ɛː
Ä	ɛ
Ä	ɛː
Ä	ɛː
Ä	eː
Aa	ˌa ˈʔ a
Aa	aː
Aachen	ˈaː x ə n
Aachener	ˈaː x ə n ɐ
Aachenerin	ˈaː x ə n ə ʁ ɪ n
AAD	aː ʔ aː ˈd eː
Aake	ˈaː k ə
Aakerbeere	ˈaː k ɐ ˌb eː ʁ ə
Aal	aː l
aalähnlich	ˈaː l ˌɛː n l ɪ ç
aalähnlich	ˈaː l ˌeː n l ɪ ç
aalartig	ˈaː l ʔ aː ɐ̯ t ɪ ç
aalartig	ˈaː l ʔ aː ɐ̯ t ɪ k
Aalauge	ˈaː l ˌa ʊ̯ ɡ ə
Aale	ˈʔ aː l ə
Aalen	ˈaː l ə n
Aales	ˈʔ aː l ə s
Aalfang	ˈɑː l ˌf a ŋ k
Aalfell	ˈaː l ˌf ɛ l
Aalfett	ˈaː l ˌf ɛ t
Aalfischer	ˈaː l ˌf ɪ ʃ ɐ
aalförmig	ˈaː l ˌf œ ʁ m ɪ ç
aalglatt	ˌaː l ˈɡ l a t
aalgleich	ˈaː l ˌɡ l a ɪ̯ ç
Aalhaut	ˈaː l ˌh a ʊ̯ t
Aalkorb	ˈaː l ˌk ɔ ʁ p
Aalleiter	ˈaː l ˌl a ɪ̯ t ɐ
Aalmolch	ˈaː l ˌm ɔ l ç
Aalmutter	ˈaː l ˌm ʊ t ɐ
Aalmuttern	ˈaː l ˌm ʊ t ɐ n
Aalquappe	ˈaː l ˌk v a p ə
Aalräucherei	ˈaː l ʁ ɔ ɪ̯ ç ə ˌʁ a ɪ̯
Aalraupe	ˈaː l ˌʁ a ʊ̯ p ə
Aalreuse	ˈaː l ˌʁ ɔ ɪ̯ z ə
Aals	ʔ aː l s
Aalspeer	ˈaː l ˌʃ p eː ɐ̯
Aalstechen	ˈaː l ˌʃ t ɛ ç n̩
Aalstrich	ˈaː l ˌʃ t ʁ ɪ ç
Aalsuppe	ˈaː l ˌz ʊ p ə
Aaltierchen	ˈaː l ˌt iː ɐ̯ ç ə n
Aar	aː ɐ̯
Aargau	ˈaː ɐ̯ ˌɡ a ʊ̯
Aargauer	ˈaː ɐ̯ ˌɡ a ʊ̯ ɐ
Aas	aː s
Aase	aː z ə
aasen	ˈaː z ə n
Aaser	ˈaː z ɐ
aasfressend	ˈaː s ˌf ʁ ɛ s n̩ t
Aasfresser	ˈaː s ˌf ʁ ɛ s ɐ
aasig	ˈaː z ɪ ç
aasig	ˈaː z ɪ k
Aasjäger	ˈaː s ˌj ɛː ɡ ɐ
Aasjägerei	ˈaː s j ɛː ɡ ə ˌʁ a ɪ̯
Aaskäfer	ˈaː s ˌk ɛː f ɐ
Aasseite	ˈaː s ˌz a ɪ̯ t ə
Aasvogel	ˈaː s f oː ɡ l̩
ab	a p
ab	ɑ p
ab	ɑ b̥
Abalienation	ˌa p ˌʔ a l i̯ e n a ˈt͡s i̯ oː n
abänderbar	ˈa p ˌɛ n d ə ʁ ˌb aː ʁ
Abänderer	ˈa p . ɛ n d ɐ ʁ ɐ
Abändern	ˈa p . ɛ n d ɐ n
Abänderung	ˈʔ a p ˌʔ ɛ n d ə ʁ ʊ ŋ
Abänderungen	ˈʔ a p ʔ ɛ n d ə ʁ ʊ ŋ ə n
abarbeiten	ˈa b ˌa ʁ b a ɪ̯ t ə n
abartig	ˈa p a ʁ t ɪ ç
abartig	ˈa p a ʁ t ɪ k
Abartung	ˈa p ʔ aː ɐ̯ t ʊ ŋ
abäschern	ˈa p ˌʔ ɛ ʃ ɐ n
abaxial	a p ʔ a ˈk s i̯ aː l
Abbaggerung	ˈa p b a ɡ ə ʀ ʊ ŋ
abbaubar	ˈa p b a ʊ̯ b aː ʁ
Abbaubarkeit	ˈa p b a ʊ̯ b aː ɐ̯ ˌk a ɪ̯ t
Abbauprodukt	ˈa p b a ʊ̯ p r o d ʊ k t
abbeißen	ˈa p ˌb a ɪ̯ s n̩
abbeißen	ˈa p ˌb a ɪ̯ s ə n
abbekommen	ˈʔ a p b ə k ɔ m ə n
Abberufung	ˈa p b ə ˈʁ uː f ʊ ŋ
abbestellen	ˈa p b ə ˌʃ t ɛ l ə n
Abbestellung	ˈa p b ə ˌʃ t ɛ l ʊ ŋ
abbezahlen	ˈa b ə ˌt s aː l ə n
Abbezahlung	ˈa p b ə ˌt͡s aː l ʊ ŋ
Abbiegung	ˈa p ˌb iː ɡ ʊ ŋ
abbilden	ˈa p . b ɪ l . d ə n
Abbildung	ˈa p . b ɪ l . d ʊ ŋ
Abbildungstechnologie	ˈa p . b ɪ l . d ʊ ŋ s . t ɛ ç . n o . l o ˌɡ iː
abbinden	ˈʔ a p ˌb ɪ n d n̩
abbinden	ˈʔ a p ˌb ɪ n d ə n
Abbiss	ˈa p ˌb ɪ s
Abbitte	ˈʔ a p ˌb ɪ t ə
Abbitten	ˈʔ a p ˌb ɪ t ə n
abbitten	ˈa p ˌb ɪ t n̩
abblasen	ˈa p ˌb l aː z n̩
