'k	k
'k	ə k
'm	ə m
'n	ə n
'ns	ə n s
'r	ə r
's	s
's	ə s
's	s
't	ə t
't	t
a.u.b.	aː . y ˈb eː
Aa	aː
aad	aː t
Aad	aː t
Aadje	ˈaː t j ə
Aafje	ˈaː f j ə
Aagje	ˈaː x . j ə
aagje	ˈaː x j ə
aagt	aː x t
aagtappel	ˈaː x t ɑ p ə l
Aagtje	ˈaː x t j ə
aai	aː i̯
aaibaar	ˈaː i̯ . b aː r
aaibaarheid	ˈaː i̯ . b aː r ˌɦ ɛ i̯ t
aaibaarheidsfactor	ˈaː i̯ . b aː r . ɦ ɛ i̯ t s ˌf ɑ k . t ɔ r
aaien	ˈaː i̯ ə n
aaiing	ˈaː i̯ ɪ ŋ
aak	aː k
aaks	aː k s
aal	aː l
Aalbert	ˈaː l . b ɛ r t
aalbes	ˈaː l . b ɛ s
aalbessengelei	ˈaː l . b ɛ . s ə n . ʒ ə ˌl ɛ i̯
aalbessenjam	ˈaː l . b ɛ . s ə n ˌʒ ɛ m
aalbessenjenever	ˈaː l . b ɛ . s ə n . j ə ˌn eː . v ə r
aalbessensap	ˈaː l . b ɛ . s ə n ˌs ɑ p
aalbessenstruik	ˈaː l . b ɛ . s ə n ˌs t r œ y̯ k
aalbessesap	ˈaː l . b ɛ . s ə ˌs ɑ p
aalbessestruik	ˈaː l . b ɛ . s ə ˌs t r œ y̯ k
Aalbrecht	ˈaː l . b r ɛ x t
Aalderik	ˈaː l . d ə . r ɪ k
Aaldert	ˈaː l . d ə r t
Aaldrik	ˈaː l . d r ɪ k
aalfuik	ˈaː l . f œ y̯ k
aalgeer	ˈaː l . ɣ eː r
aalglad	aː l ˈɣ l ɑ t
aalkorf	ˈaː l . k ɔ r f
aalkuip	ˈaː l . k œ y̯ p
aalmoes	ˈaː l . m u s
aalmoezenier	ˌaː l . m u . z ə ˈn iː r
aalmoezenierskamer	aː l . m u . z ə ˈn iː r s ˌk aː . m ə r
aaloud	ˈaː l . ɑ u̯ t
aalpomp	ˈaː l . p ɔ m p
aalput	ˈaː l . p ʏ t
Aalrik	ˈaː l . r ɪ k
aalschaar	ˈaː l . s x aː r
aalscholver	ˈaː l ˌs x ɔ l . v ə r
aalspeer	ˈaː l . s p eː r
Aalst	aː l s t
aalstal	ˈaː l . s t ɑ l
aalsteker	ˈaː l ˌs t eː . k ə r
aalstreep	ˈaː l . s t r eː p
aalsvel	ˈaː l s . f ɛ l
aalt	aː l t
Aalten	ˈaː l . t ə n
aalvlug	aː l ˈv l ʏ x
aalvork	ˈaː l . v ɔ r k
aalvormig	ˌaː l ˈv ɔ r . m ə x
aam	aː m
aâm	aː m
aambeeld	ˈaː m ˌb eː l t
aambeeldsblok	ˈaː m . b eː l t s ˌb l ɔ k
aambei	ˈaː m . b ɛ i̯
aamborstig	ˌaː m ˈb ɔ r . s t ə x
aamborstigheid	ˌaː m ˈb ɔ r . s t ə x . ɦ ɛ i̯ t
aamt	aː m t
aan	aː n
aanaarden	ˈaː n ˌaː r . d ə n
aanaarding	ˈaː n ˌaː r . d ɪ ŋ
aanaardploeg	ˈaː n . aː r t ˌp l u x
aanademen	ˈaː n ˌaː d ə m ə n
aanbaffen	ˈaː n ˌb ɑ . f ə n
aanbakken	ˈaː n ˌb ɑ k ə n
aanbaksel	ˈaː n ˌb ɑ k . s ə l
aanbedene	ˌaː n ˈb eː . d ə . n ə
aanbeeld	ˈaː m . b eː l t
aanbeeldsblok	ˈaː m . b eː l t s ˌb l ɔ k
aanbegin	ˈaː n . b ə ˌɣ ɪ n
aanbegin	ˈaː m . b ə ˌɣ ɪ n
aanbehoren	ˈaː n . b ə ˌɦ oː . r ə n
aanbelanden	ˈaː m b ə ˌl ɑ n d ə n
aanbelang	ˈaː n . b ə ˌl ɑ ŋ
aanbellen	ˈaː n ˌb ɛ . l ə n
aanberming	ˈaː n ˌb ɛ r . m ɪ ŋ
aanbesteden	ˈaː n . b ə ˌs t eː . d ə n
aanbesteder	ˈaː n . b ə ˌs t eː . d ə r
aanbesteding	ˈaː n . b ə ˌs t eː . d ɪ ŋ
aanbestedingsbeleid	ˈaː n . b ə . s t eː . d ɪ ŋ s . b ə ˌl ɛ i̯ t
aanbestedingsprocedure	ˈaː n . b ə . s t eː . d ɪ ŋ s . p r oː . s ə ˌd yː . r ə
aanbestedingsregel	ˈaː n . b ə . s t eː . d ɪ ŋ s ˌr eː . ɣ ə l
aanbestedingsregeling	ˈaː n . b ə . s t eː . d ɪ ŋ s ˌr eː . ɣ ə . l ɪ ŋ
aanbestedingsvoorwaarde	ˈaː n . b ə . s t eː . d ɪ ŋ s ˌf oː r . ʋ aː r . d ə
aanbesterven	ˈaː n . b ə ˌs t ɛ r . v ə n
aanbetalen	ˈaː n . b ə ˌt aː . l ə n
aanbetaling	ˈaː n . b ə ˌt aː . l ɪ ŋ
aanbetreffen	ˈaː n . b ə ˌt r ɛ . f ə n
aanbetrouwen	ˈaː n . b ə ˌt r ɑ u̯ . ə n
aanbevelen	ˈaː m b ə v eː l ə n
aanbevelenswaard	ˌaː n . b ə . v eː . l ə n s . ˈʋ aː r t
aanbevelenswaardig	ˌaː n . b ə . v eː . l ə n s ˈʋ aː r . d ə x
aanbeveler	ˈaː n . b ə ˌv eː . l ə r
aanbeveling	ˈaː m . b ə . ˌv eː . l ɪ ŋ
aanbevelingsbrief	ˈaː n . b ə . v eː . l ɪ ŋ s ˌb r i f
aanbevelingscomité	ˈaː n . b ə . v eː . l ɪ ŋ s . k ɔ . m i ˌt eː
aanbevolene	ˈaː n . b ə ˌv oː . l ə . n ə
aanbiddelijk	ˌaː n ˈb ɪ d ə l ə k
aanbidden	aː m ˈb ɪ d ə n
aanbidder	ˌaː n ˈb ɪ . d ə r
aanbidding	aː n ˈb ɪ . d ɪ ŋ
aanbidster	ˌaː n ˈb ɪ t . s t ə r
aanbieden	ˈaː n ˌb i d ə n
aanbieder	ˈaː n ˌb i . d ə r
aanbieding	ˈaː n . b i . d ɪ ŋ
aanbiedingsbrief	ˈaː n . b i . d ɪ ŋ s ˌb r i f
aanbiedingsfolder	ˈaː n . b i . d ɪ ŋ s ˌf ɔ l . d ə r
aanbiedingsprijs	ˈaː n . b i . d ɪ ŋ s ˌp r ɛ i̯ s
aanbiedplaats	ˈaː n . b i t ˌp l aː t s
aanbijten	ˈaː n ˌb ɛ i̯ . t ə n
aanbinden	ˈaː n ˌb ɪ n . d ə n
aanblaffen	ˈaː n ˌb l ɑ . f ə n
aanblazen	ˈaː n ˌb l aː . z ə n
aanblazing	ˈaː n ˌb l aː . z ɪ ŋ
aanblijven	ˈaː m b l ɛ i̯ v ə n
aanblik	ˈaː n . b l ɪ k
aanbod	ˈaː n . b ɔ t
aanbodbeleid	ˈaː n . b ɔ t . b ə ˌl ɛ i̯ t
aanbodcurve	ˈaː n . b ɔ t ˌk ʏ r . v ə
aanbodeconomie	ˈaː n . b ɔ t . eː . k oː . n oː ˌm i
aanbodelasticiteit	ˈaː n . b ɔ t . eː . l ɑ s . t i . s i ˌt ɛ i̯ t
aanbodkant	ˈaː n . b ɔ t ˌk ɑ n t
aanbodoverschot	ˈaː n . b ɔ t ˌoː . v ə r . s x ɔ t
aanbodzijde	ˈaː n . b ɔ t ˌs ɛ i̯ . d ə
aanbouw	ˈaː n . b ɑ u̯
aanbouwen	ˈaː m b ɑ u̯ ə n
aanbouwing	ˈaː n ˌb ɑ u̯ . ɪ ŋ
aanbouwsel	ˈaː n ˌb ɑ u̯ . s ə l
aanbraakt	ˈaː m ˌb r aː k t
aanbrak	ˈaː m ˌb r ɑ k
aanbrake	ˈaː m ˌb r aː k ə
aanbraken	ˈaː m ˌb r aː k ə n
aanbranden	ˈaː m b r ɑ n d ə n
aanbreek	ˈaː m ˌb r eː k
aanbreekt	ˈaː m ˌb r eː k t
aanbreke	ˈaː m ˌb r eː k ə
aanbreken	ˈaː m b r eː k ə n
