ং	ŋ
অ	ɔ
অ	o
অইলদা	ɔ i l . d̪ a
অকর্তা	ɔ . k ɔ r . t̪ a
অকর্মা	ɔ . k ɔ r . m a
অকর্মিষ্ঠ	ɔ . k o r . m i ʃ . ʈʰ o
অকর্ষিত	ɔ . k o r . ʃ i . t̪ o
অকল	ɔ . k ɔ l
অকলঙ্ক	ɔ . k ɔ . l o ŋ . k o
অকলঙ্কিত	ɔ . k ɔ . l o ŋ . k i . t̪ o
অকলঙ্কিতা	ɔ . k ɔ . l o ŋ . k i . t̪ a
অকলঙ্কিনী	ɔ . k ɔ . l o ŋ . k i . n i
অকলঙ্কী	ɔ . k ɔ . l o ŋ . k i
অকলমন্দ	ɔ . k ɔ l . m ɔ n d̪
অকলমন্দ	ɔ . k ɔ l . m ɔ n . d̪ o
অকলুষ	ɔ . k o . l u ʃ
অকলুষিত	ɔ . k o . l u . ʃ i . t̪ o
অকল্ক	ɔ . k ɔ l . k o
অকল্কা	ɔ . k ɔ l . k a
অকল্পনা	ɔ . k ɔ l . p o . n a
অকল্পনীয়	ɔ . k ɔ l . p o . n i o
অকল্পিত	ɔ . k o l . p i . t̪ o
অকল্মষ	ɔ . k ɔ l . m o ʃ
অকল্যাণ	ɔ . k o l . l a n
অকল্যাণকর	ɔ . k o l . l a n . k ɔ r
অকল্যাণকারিণী	ɔ . k o l . l a n . k a . r i . n i
অকষ্ট	ɔ . k ɔ ʃ . ʈ o
অকষ্টকল্পনা	ɔ . k ɔ ʃ . ʈ o . k ɔ l . p o . n a
অকষ্টকল্পিত	ɔ . k ɔ ʃ . ʈ o . k o l . p i . t̪ o
অকষ্টবদ্ধ	ɔ . k ɔ ʃ . ʈ o . b ɔ d̪ . d̪ʰ o
অকস্মাৎ	ɔ . k o ʃ . ʃ ã t̪
অকাজ	ɔ . k a ɟ
অকাট	ɔ . k a ʈ
অকাট্য	ɔ . k a ʈ . ʈ ɔ
অকাঠ	ɔ . k a ʈʰ
অকাঠা	ɔ . k a . ʈʰ a
অকাণ্ড	ɔ . k a n . ɖ o
অকাণ্ডে	ɔ . k a n . ɖ e
অকাতর	ɔ . k a . t̪ o r
অকাতরে	ɔ . k a . t̪ o . r e
অকাপট্য	ɔ . k a . p o ʈ . ʈ o
অকাম	ɔ . k a m
অকাম্য	ɔ . k a m . m o
অকায়	ɔ . k aʲ
অকার	ɔ . k a r
অকারণ	ɔ . k a . r o n
অকারণে	ɔ . k a . r o . n e
